Timestamp,EnvID,SensorName,ContactID,ContactIndex,PosX,PosY,PosZ,QuatW,QuatX,QuatY,QuatZ,Fx,Fy,Fz,ForceMagnitude,ForceAlongNormal
2.6000,0,gripper_left_sensor_4,0,0,0.4221,-0.0321,0.0140,0.7041,0.7043,0.0699,0.0574,-2.9745,16.3221,0.0323,16.5910,-16.5907
2.6000,0,gripper_right_sensor_3,0,0,0.3976,0.0491,0.0143,-0.7043,0.7041,0.0574,-0.0699,0.1486,-0.8155,-0.0016,0.8290,-0.8290
2.6000,0,gripper_right_sensor_4,0,0,0.4070,0.0508,0.0141,-0.7043,0.7041,0.0574,-0.0699,2.1648,-11.8790,-0.0240,12.0747,-12.0745
2.8000,0,gripper_left_sensor_4,0,0,0.4222,-0.0317,0.0139,0.7040,0.7043,0.0702,0.0577,-2.9680,16.2005,0.0331,16.4702,-16.4699
2.8000,0,gripper_right_sensor_3,0,0,0.3976,0.0494,0.0142,-0.7043,0.7040,0.0577,-0.0702,0.1470,-0.8025,-0.0017,0.8159,-0.8158
2.8000,0,gripper_right_sensor_4,0,0,0.4070,0.0511,0.0141,-0.7043,0.7040,0.0577,-0.0702,2.1944,-11.9777,-0.0249,12.1770,-12.1768
3.0000,0,gripper_left_sensor_4,0,0,0.4223,-0.0314,0.0139,0.7040,0.7043,0.0705,0.0580,-2.9573,16.0741,0.0337,16.3439,-16.3436
3.0000,0,gripper_right_sensor_3,0,0,0.3977,0.0497,0.0142,-0.7043,0.7040,0.0580,-0.0705,0.1461,-0.7942,-0.0017,0.8075,-0.8075
3.0000,0,gripper_right_sensor_4,0,0,0.4070,0.0514,0.0140,-0.7043,0.7040,0.0580,-0.0705,2.2242,-12.0899,-0.0258,12.2928,-12.2926
3.2000,0,gripper_left_sensor_1,0,0,0.4116,-0.0327,0.0239,0.7064,0.7060,0.0399,0.0312,-0.0016,0.0148,0.0000,0.0149,-0.0149
3.2000,0,gripper_left_sensor_3,0,0,0.4115,-0.0327,0.0144,0.7064,0.7060,0.0399,0.0312,-0.2425,2.3089,0.0006,2.3216,-2.3215
3.2000,0,gripper_left_sensor_4,0,0,0.4210,-0.0317,0.0143,0.7064,0.7060,0.0399,0.0312,-1.7685,16.6882,0.0136,16.7817,-16.7811
3.2000,0,gripper_right_sensor_2,0,0,0.4126,0.0528,0.0238,-0.7060,0.7064,0.0312,-0.0399,0.0062,-0.0568,-0.0000,0.0571,-0.0571
3.2000,0,gripper_right_sensor_4,0,0,0.4125,0.0527,0.0143,-0.7060,0.7064,0.0312,-0.0399,1.2723,-12.8595,0.0039,12.9223,-12.9220
3.4000,0,gripper_left_sensor_3,0,0,0.4103,-0.0321,0.0148,0.7074,0.7064,0.0207,0.0146,-0.0388,0.7556,-0.0009,0.7566,-0.7566
3.4000,0,gripper_left_sensor_4,0,0,0.4198,-0.0316,0.0147,0.7074,0.7064,0.0207,0.0146,-0.9932,19.1567,-0.0111,19.1824,-19.1820
3.4000,0,gripper_right_sensor_4,0,0,0.4155,0.0536,0.0146,-0.7064,0.7074,0.0146,-0.0207,0.7220,-14.0795,0.0160,14.0980,-14.0977
3.6000,0,gripper_left_sensor_3,0,0,0.4096,-0.0316,0.0149,0.7077,0.7063,0.0137,0.0086,-0.0079,0.2472,-0.0004,0.2473,-0.2473
3.6000,0,gripper_left_sensor_4,0,0,0.4191,-0.0313,0.0148,0.7077,0.7063,0.0137,0.0086,-0.6400,19.5982,-0.0223,19.6086,-19.6082
3.6000,0,gripper_right_sensor_3,0,0,0.4069,0.0538,0.0147,-0.7063,0.7077,0.0086,-0.0137,0.0063,-0.1970,0.0003,0.1971,-0.1971
3.6000,0,gripper_right_sensor_4,0,0,0.4164,0.0541,0.0147,-0.7063,0.7077,0.0086,-0.0137,0.4548,-14.2025,0.0239,14.2098,-14.2096
3.8000,0,gripper_left_sensor_3,0,0,0.4092,-0.0310,0.0149,0.7077,0.7063,0.0110,0.0063,-0.0010,0.0388,-0.0001,0.0388,-0.0388
